1;001100;001100;SeleccioneDepartametno;SeleccioneMunicipio;Seleccione vereda
5;5660;566080;ANTIOQUIA;SAN LUIS;SANTA ISABEL
5;5660;566005;ANTIOQUIA;SAN LUIS;CARACOLÍ
5;5660;566010;ANTIOQUIA;SAN LUIS;DINDAL
5;5660;566045;ANTIOQUIA;SAN LUIS;LA LAGUNA
5;5660;566040;ANTIOQUIA;SAN LUIS;LA FLOR
5;5660;566030;ANTIOQUIA;SAN LUIS;JAGUA FLOR
5;5660;566029;ANTIOQUIA;SAN LUIS;JAGUA BARTOLITO
5;5660;566066;ANTIOQUIA;SAN LUIS;PARAGUAY
5;5660;566008;ANTIOQUIA;SAN LUIS;CORDIALIDAD
5;5660;566036;ANTIOQUIA;SAN LUIS;LA CAÑADA
5;5660;566075;ANTIOQUIA;SAN LUIS;SAN ATANASIO
5;5660;566056;ANTIOQUIA;SAN LUIS;LIMONAR
5;5660;566007;ANTIOQUIA;SAN LUIS;CONTRERAS
5;5660;566021;ANTIOQUIA;SAN LUIS;EL PUÑO
5;5660;566085;ANTIOQUIA;SAN LUIS;TOMÍN
5;5660;566071;ANTIOQUIA;SAN LUIS;PRIMAVERA
5;5660;566067;ANTIOQUIA;SAN LUIS;PATIO BONITO
5;5660;566086;ANTIOQUIA;SAN LUIS;TOMOGÓ
5;5660;566057;ANTIOQUIA;SAN LUIS;LOS CIRUELOS
5;5660;566060;ANTIOQUIA;SAN LUIS;MALNOMBRE
5;5660;566006;ANTIOQUIA;SAN LUIS;CHICUALÍ
5;5660;566073;ANTIOQUIA;SAN LUIS;SAN ANTONIO
5;5660;566076;ANTIOQUIA;SAN LUIS;SAN CAYETANO
5;5660;566003;ANTIOQUIA;SAN LUIS;CAIMITAL
5;5660;566069;ANTIOQUIA;SAN LUIS;PEDREGAL
5;5660;566070;ANTIOQUIA;SAN LUIS;PIEDRAS BLANCAS
5;5660;566001;ANTIOQUIA;SAN LUIS;BUENOS AIRES
5;5660;566027;ANTIOQUIA;SAN LUIS;GUACIMITO
5;5660;566059;ANTIOQUIA;SAN LUIS;LUISA GARCÍA
5;5660;566081;ANTIOQUIA;SAN LUIS;SANTA LUCÍA
5;5660;566034;ANTIOQUIA;SAN LUIS;LA AURORA
5;5660;566028;ANTIOQUIA;SAN LUIS;GUADALAJARA
5;5660;566004;ANTIOQUIA;SAN LUIS;CAMPOALEGRE
5;5660;566026;ANTIOQUIA;SAN LUIS;GALLEGO
5;5660;566049;ANTIOQUIA;SAN LUIS;LA MESETA
5;5107;5107024;ANTIOQUIA;BRICEÑO;LADERAS
5;5101;5101012;ANTIOQUIA;CIUDAD BOLÍVAR;LA SUCIA
5;5101;5101013;ANTIOQUIA;CIUDAD BOLÍVAR;LOS BILLARES
5;5107;5107025;ANTIOQUIA;BRICEÑO;LAS AURAS
5;5107;5107029;ANTIOQUIA;BRICEÑO;OREJON
